domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url,best_site_name,scraping_status_code
baartprograms.com,2005-05-06,2024-03-05,2027-05-06,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
ohiovalleyhospital.org,1997-12-04,2024-11-05,2029-12-03,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
ekosatori.com,2024-11-13,2024-12-17,2025-11-13,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,,200
fast.edu.pl,2024-02-24,2025-02-25,2026-02-24,OVH SAS,,,,Error
mindpathtech.com,2019-03-28,2022-10-25,2025-03-28,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
aat.org.uk,1997-01-21,2024-07-27,2027-01-21,"GoDaddy.com, LLC. [Tag = GODADDY]",,,,200
fazhomes.com,2007-11-07,2024-12-05,2025-11-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
backburnermusic.net,2004-08-26,2022-09-07,2025-08-26,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
groz-beckert.de,,2011-09-09,,,,,,Error
chaolong.co.id,2016-09-20,2024-09-09,2025-09-20,PT Digital Registra Indonesia,,,,200
alu.fesd.es,,,,,,,,Error
kerridgecs.com,2010-03-11,2025-02-09,2026-03-11,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,,200
ticketmaster.co.uk,1996-09-03,2024-08-30,2026-09-03,"CSC Corporate Domains, Inc [Tag = CSC-CORP-DOMAINS]",,,,Error
aamec.be,2001-01-08,,,,,,,200
slay.com,1998-02-05,2023-01-26,2026-01-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
oneplanevents.com,2018-11-27,2022-10-25,2026-11-27,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
tomatotyres.co.uk,2015-06-08,2024-05-12,2025-06-08,Miss Group Ltd [Tag = HOSTEK],,,,200
libertyplumbingaz.com,2011-02-17,2025-01-16,2027-01-15,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
hjomail.com,2005-09-19,2024-08-01,2025-09-19,"Ascio Technologies, Inc",abuse@ascio.com,https://ascio.com,,Error
jimlambert.us,2004-01-15,2025-01-20,2026-01-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
wealon.com,2020-01-06,2025-03-01,2026-01-06,"NameSilo, LLC",abuse@namesilo.com,https://namesilo.com,,Error
jtshipping.com,2005-03-27,2022-09-03,2029-03-27,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
gms.com,1997-08-15,2023-04-24,2032-08-14,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
apexglobalus.com,2018-09-12,2024-09-13,2025-09-12,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
beletdd.com.co,2024-12-03,2024-12-08,2025-12-03,PDR Ltd. d/b/a PublicDomainRegistry.com,abuse@publicdomainregistry.com,https://publicdomainregistry.com,,200
pronego.be,2010-10-04,,,,,,,Error
total-property.com,2003-04-17,2024-11-26,2027-04-17,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
science.xyz,2021-04-08,2024-05-22,2027-04-08,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,200
agorasl.es,,,,,,,,Error
hoevepante.be,2013-02-21,,,,,,,Error
ezrenda.com,2010-09-08,2024-10-28,2026-09-08,Xin Net Technology Corporation,supervision@xinnet.com,https://xinnet.com,,Error
laurieandco.co.uk,2002-09-06,2024-07-16,2025-09-06,"GoDaddy.com, LLC. [Tag = GODADDY]",,,,200
flymediatech.com,2017-05-26,2025-02-03,2025-05-26,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
hexegic.com,2015-11-24,2024-11-09,2025-11-24,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,200
robotronik.com.pl,2023-04-11,2024-04-03,2025-04-11,cyber_Folks S.A.,,,,200
forgesystems.com,1999-10-18,2022-10-09,2025-10-18,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
childbirtheducation.com.au,,2024-11-17,,Web Address Registration Pty Ltd,,,,Error
autoquattrosrl.it,2005-10-20,2024-11-03,2025-10-18,TELEVIDEOCOM s.r.l.,,,,Error
flekson.com,2024-01-15,2025-02-15,2026-01-15,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,200
cottenham.com.au,,2024-04-21,,Melbourne IT,,,,200
boisdarcy.leclerc,2021-06-22,2024-08-06,2025-06-22,BDL Systemes SAS dba ProDomaines,registrar-abuse+afnic@systonic.fr,https://systonic.fr,,Error
comfortdental.biz,2009-07-28,2024-08-02,,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
arubapec.it,2006-06-19,2024-07-05,2025-06-19,Aruba s.p.a.,,,,Error
sazi.com.br,2008-06-30,2023-07-25,2026-07-16,,,,,200
westsiderentals.com,1997-02-04,2024-08-02,2026-02-05,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,,Error
kaarquest.in,2010-06-16,2024-06-03,2025-06-16,Key-Systems GmbH,,,,Error
fontenotcontracting.com,2004-10-08,2020-05-28,2025-10-08,"Register.com, Inc.",domain.operations@web.com,https://web.com,,200
ruthlessamericans.com,2019-01-03,2025-01-03,2027-01-03,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
service-solutions.com,2003-11-02,2024-10-29,2025-11-02,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,,Error
winnisquammarine.com,1997-03-18,2025-03-03,2026-03-19,FastDomain Inc.,domain.operations@web.com,https://web.com,,200
supplyvan.com,2014-05-30,2024-05-30,2026-05-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
ekodezela.si,2012-10-01,,2026-10-01,HITROST.COM domene in gostovanje,,,,200
s.uokerbala.edu.iq,,,,,,,,Error
networkcargo.com,2013-05-18,2024-01-15,2028-05-18,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,,Error
mcbridepawn.com,2015-01-07,2025-01-08,2026-01-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
shopf451.com,2007-11-02,2022-10-23,2027-11-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
findhr.com.br,2015-10-15,2024-07-23,2028-10-15,,,,,200
zinwell.com.tw,1997-05-01,,2026-05-31,TWNIC,,,,Error
barigo.de,,2025-01-30,,,,,,200
johnclark.org,1998-06-15,2024-05-08,2025-06-14,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,Error
kunden-perspektive.de,,2021-07-27,,,,,,200
solufy.com,2003-02-20,2025-01-21,2026-02-20,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,Error
lipinskicpas.com,2009-12-11,2024-11-26,2025-12-11,"Domain.com, LLC",compliance@domain-inc.net,https://domain-inc.net,,Error
bienboire.fr,2013-08-30,2024-09-30,2025-08-30,IONOS SE,hostmaster@1und1.de,https://1und1.de,,Error
apsk12.org,2000-10-25,2020-10-25,2030-10-25,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
solarconnectpr.com,2025-01-16,2025-01-16,2027-01-16,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
logisticagroup.com,2010-11-10,2024-11-11,2025-11-10,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
possehlelectronics.de,,2023-09-08,,,,,,200
karigari.me,2023-10-25,2024-12-09,2025-10-25,"GoDaddy.com, LLC",,,,200
fischer-group.net,2013-02-06,2025-01-14,2026-02-06,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
columbusairports.com,2002-12-19,2024-11-19,2025-12-19,"Register.com, Inc.",domain.operations@web.com,https://web.com,,200
eagles.nccu.edu,1990-05-18,,2027-07-31,,,,,Error
datuum.ai,2021-03-01,,,EuroDNS S.A.,legalservices@eurodns.com,https://eurodns.com,,200
nachi.com,1999-03-10,2025-03-06,2025-03-10,"PSI-Japan, Inc.",support@psi-japan.co.jp,https://psi-japan.co.jp,,Error
mail.mcu.edu.tw,,,,,,,,200
transportes.com.mx,1998-07-21,2024-07-20,2025-07-20,"AKKY ONLINE SOLUTIONS, S.A. DE C.V.",,,,200
protonca.com,2020-09-08,2024-09-09,2026-09-08,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
tenbroek.be,2013-11-21,,,,,,,Error
themodernrose.com,2008-01-19,2025-01-18,2026-01-19,DREAMHOST,domain-abuse@dreamhost.com,https://dreamhost.com,,200
odayintl.com,2009-06-29,2024-06-30,2025-06-29,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
aspirehomescolorado.com,2017-12-07,2023-12-08,2026-12-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
bimvale.com,2021-02-24,2025-01-28,2026-02-24,"HOSTINGER operations, UAB",abuse-tracker@hostinger.com,https://hostinger.com,,200
vipfashionstore.nl,2017-07-20,2022-03-28,,Registrar.eu,,,,200
ddrseattle.com,2001-11-08,2022-09-10,2031-11-08,CSL Computer Service Langenbach GmbH d/b/a joker.com,abuse@joker.com,https://joker.com,,200
auge.net.co,2015-03-19,2024-06-20,2026-03-18,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
wwideevents.com,2011-03-10,2025-02-08,2027-03-10,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,,200
uicstl.com,2007-04-02,2024-03-18,2025-04-02,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,200
everii.io,2022-09-16,2024-10-31,2025-09-16,INWX GmbH,,,,200
windmillflowers.co.uk,2011-11-25,2024-06-10,2025-11-25,"Wild West Domains, Inc. [Tag = WILDWEST]",,,,200
mawartshanemail.com,2024-12-11,2024-12-11,2025-12-11,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,200
empireval.com,1997-11-14,2024-09-14,2029-11-13,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
boreal.org,1996-02-05,2022-12-14,2026-02-06,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Invalid Content-Type
laoom.es,,,,,,,,200
sysmaticgpl.com,2013-04-03,2024-10-20,2027-04-03,Dreamscape Networks International Pte Ltd,abuse@dreamscapenetworks.com,https://dreamscapenetworks.com,,200
chiltern.co,2014-07-08,2024-07-14,2025-07-07,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",abuse@ascio.com,https://ascio.com,,Error
yourtransplantcoach.com,2024-07-10,2024-07-10,2027-07-10,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
maplecitybilliards.com,2003-09-16,2024-09-17,2025-09-16,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
lamons.com,2002-04-27,2023-04-27,2033-04-27,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
hamila.com,2009-09-17,2024-07-26,2026-09-17,Alpine Domains Inc.,domainadmin@alpinedomains.com,https://alpinedomains.com,,Error
mailptv.es,,,,,,,,200
konopcompanies.com,2000-07-13,2024-11-14,2025-07-13,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
remsanteh-groupe.com.ua,,,,,,,,200
hellovancouverliving.com,2020-04-07,2024-03-24,2025-04-07,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,Error
edwardsventures.com,2016-04-06,2016-04-06,2026-04-06,"Name.com, Inc.",abuse@name.com,https://name.com,,Error
realmarkgroup.com,2001-01-19,2023-07-15,2030-01-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
petajavesi.fi,1997-09-08,2017-09-06,2025-08-31,Telia Finland Oyj,,,,200
zawione.de,,2008-01-24,,,,,,Error
moevechemicals.com,2023-05-17,2025-02-10,2025-05-17,"Ascio Technologies, Inc",abuse@ascio.com,https://ascio.com,,Error
tal2k.com,2022-03-19,2025-03-04,2026-03-19,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,Error
rosetta.com,1987-07-28,2024-07-23,2025-07-27,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,,200
inviaresources.com,2006-04-03,2025-01-20,2026-02-03,"easyDNS Technologies, Inc.",abuse@easydns.com,https://easydns.com,,Error
jobnetafrica.com,2015-01-12,2024-12-14,2026-01-12,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,200
deindo.es,,,,,,,,200
rpharmy.com,2019-01-31,2020-10-22,2029-01-31,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,200
centralcoastreorganizereset.com,2025-01-17,2025-01-17,2026-01-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
brandinventors.co.za,2012-03-06,2025-02-02,2026-03-06,Cloud to Machine,invoice@hostafrica.co.za,https://hostafrica.co.za,,Error
zbb.be,2004-11-22,,,,,,,Error
finadmon.com,2015-07-29,2024-07-01,2025-07-29,"Akky Online Solutions, S.A. de C.V.",abuso@akky.mx,https://akky.mx,,Error
taksea.fr,2015-03-16,2024-04-30,2025-03-16,OVH,support@ovh.net,https://ovh.net,,200
kingsjlt.com,2014-02-09,2024-02-16,2026-02-09,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
jamac.net,1999-06-05,2024-05-16,2025-06-05,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,,200
picum-mt.com,2016-04-11,2024-05-31,2025-04-11,Cronon GmbH,abuse-domains@cronon.net,https://cronon.net,,200
ewilsons.com,2004-08-23,2024-08-24,2025-08-23,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
realtruck.com,1998-09-03,2024-09-02,2025-09-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
shcsps.edu.hk,2001-04-25,,2027-11-01,Hong Kong Domain Name Registration Company Limited,enquiry@hkdnr.hk Hotline: +852 2319 1313,https://hkdnr.hk Hotline: +852 2319 1313,,Error
tigeroffshorerentals.com,2007-03-08,2025-01-07,2026-03-08,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
searchsarasotahomes.com,2002-07-31,2024-08-01,2025-07-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
blackwoodhodge.com,2001-06-22,2025-01-30,2025-06-22,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,,200
jcsmail.co.uk,2003-07-10,2024-06-10,2025-07-10,Fasthosts Internet Ltd [Tag = LIVEDOMAINS],,,,Error
students.berkeley.net,1996-05-01,2020-06-01,2029-05-02,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
agilityleadershipcoaching.com,2014-05-19,2024-06-05,2025-06-04,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
pioneerglazing.com,2000-04-13,2023-02-22,2028-04-13,"Domain.com, LLC",compliance@domain-inc.net,https://domain-inc.net,,200
mifa.com.au,,2024-11-24,,Web Address Registration Pty Ltd,,,,200
shadowsfar.ch,,,,,,,,Error
yourstaffingfirm.com,2016-06-23,2024-06-23,2025-06-23,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
jnsq.com,2007-05-29,2024-08-02,2027-05-29,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,,200
royalautogroup.com,1999-09-22,2024-09-05,2025-09-22,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
gymnaziumbma.cz,2003-02-26,2024-12-11,2034-02-26,REG-WEB4U,,,,Error
sharkbaitco.com,2011-04-21,2024-03-18,2026-03-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
soeiro.ca,2018-03-20,2024-05-04,2025-03-20,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com,,200
advancedimagingreview.com,2013-07-31,2023-08-01,2025-07-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
cbunited.com,1997-04-10,2024-03-02,2026-04-11,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,,Error
humanlifeforce.be,2010-02-04,,,,,,,Error
ci.south-pasadena.ca.us,2003-02-05,2024-03-21,2025-02-04,US Locality,,,,Error
fusionsiteservices.com,2018-01-29,2023-12-01,2026-01-29,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
titaninspectionservices.com,2018-01-30,2025-01-02,2028-01-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
visicontech.com,1999-05-19,2024-03-01,2025-05-19,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,,Error
managementpros.com,2006-12-26,2024-12-27,2025-12-26,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
quadlabs.com,2006-08-10,2024-07-19,2025-08-10,"Name.com, Inc.",abuse@name.com,https://name.com,,Error
tidy.net,1998-08-03,2024-01-26,2025-08-02,WEBCC,compliance_abuse@webnic.cc,https://webnic.cc,,Error
jpmail.com.com,1995-04-13,2024-06-28,2025-04-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
janedeux.com,2010-04-22,2024-04-23,2025-04-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
omniplex.co,2013-02-28,2025-03-05,2028-02-27,Domainbox Limited,,,,200
welzia.com,2004-09-15,2024-09-16,2025-09-15,"Arsys Internet, S.L. dba NICLINE.COM",abuse@nicline.com,https://nicline.com,,200
ccodycpa.com,2011-03-26,2023-03-26,2026-03-26,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,,Error
kibworth-tmet.uk,2021-01-25,2024-07-28,2031-01-25,"GoDaddy.com, LLC. [Tag = GODADDY]",,,,200
capasso.it,1998-09-07,2024-08-03,2025-07-18,Aruba s.p.a.,,,,200
jigsawsupportedliving.co.uk,2019-09-14,2024-09-15,2025-09-14,123-Reg Limited t/a 123-reg [Tag = 123-REG],,,,Error
decep.com,2010-01-18,2025-01-05,2026-01-18,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,,Error
coefficient.us,,,,,,,,200
middaysquares.com,2018-01-09,2025-01-10,2027-01-09,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
accentcontrols.com,2000-03-01,2021-12-31,2027-03-02,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
okano-denki.co.jp,,,,,,,,200
ywv.com,2000-01-09,2024-06-21,2032-01-09,Dynadot Inc,abuse@dynadot.com,https://dynadot.com,,200
lozzar.com,2023-06-09,2024-06-10,2025-06-09,"IHS Telekom, Inc",abuse@ihs.com.tr,https://ihs.com.tr,,Error
esim.com.br,2015-02-05,2024-10-03,2027-10-18,,,,,200
kschanford.com,1998-10-16,2024-10-15,2025-10-15,Hostopia Canada Corp,tld-abuse@hostopia.com,https://hostopia.com,,Error
gebr-flach-gmbh.de,,2021-07-22,,,,,,Error
luxebeautyplus.com,2024-07-31,2024-07-31,2027-07-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
gruposteiner.com,1998-12-07,2024-10-07,2027-12-06,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
gridfinder.com,2007-09-23,2024-08-24,2025-09-23,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,200
anchorinnbeachhouse.com,1999-03-31,2024-04-03,2025-03-31,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
cgfinancial.net,2008-12-27,2024-12-20,2025-12-27,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
infomgmt.com,1995-07-03,2024-07-02,2025-07-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
claudiabach.ch,,,,,,,,200
pro-ops.org,2016-09-06,2024-09-08,2025-09-06,PDR Ltd. d/b/a PublicDomainRegistry.com,abuse@publicdomainregistry.com,https://publicdomainregistry.com,,200
lotsoffortune.com,2024-06-04,2024-06-04,2025-06-04,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
pitchdigital.com.au,,2024-06-04,,GoDaddy.com LLC trading as GoDaddy.com,,,,200
therightstuff.org,2001-06-14,2024-06-04,2025-06-14,FastDomain Inc.,legal@fastdomain.com,https://fastdomain.com,,200
paigeprathersmiles.com,2012-04-20,2024-04-21,2025-04-20,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
deuser.es,,,,,,,,Error
barkingfrogseo.com,2010-04-28,2022-09-07,2025-04-28,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
bogettimaquinarias.com.ar,,,,,,,,Error
lphs.org,2001-02-16,2024-04-23,2026-02-16,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,Error
colegioarboleda.com,2019-06-24,2024-06-17,2025-06-24,Dinahosting s.l.,abuse-domains@dinahosting.com,https://dinahosting.com,,Error
kenleyenterprises.com,2004-01-30,2018-02-01,2027-01-30,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
kinseyhand.com,1998-10-22,2023-08-22,2026-10-21,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
place.mx,2024-03-28,2024-05-14,2025-03-28,NETIM,,,,Error
hindman.com,1999-11-27,2024-07-09,2029-11-27,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
finiteri.com,2015-04-23,2023-09-28,2025-04-23,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,Error
tfyengenharia.com.br,2020-11-11,2024-10-02,2025-11-11,,,,,200
tacticaltechs.com,2015-07-29,2024-07-29,2026-07-29,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
diocesetucson.org,2001-01-29,2025-01-29,2026-01-29,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,Error
simplysoldpremier.com,2023-06-12,2024-06-13,2025-06-12,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
qualipac.fr,1998-09-23,2025-02-08,2026-08-03,GANDI,support@support.gandi.net,https://support.gandi.net,,Error
gtlgroup.com,2013-01-16,2025-01-09,2030-01-16,Dynadot Inc,abuse@dynadot.com,https://dynadot.com,,Error
carterseattle.com,2005-06-10,2024-12-30,2029-11-23,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
ldxsolutions.com,2017-09-05,2023-09-06,2025-09-05,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
parkerbrothersconcepts.com,2011-12-07,2023-12-11,2025-12-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
kembla.ch,,,,,,,,Error
ampersandenergy.com,2003-03-10,2025-03-07,2025-03-10,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,200
led-longauto.com,1999-04-20,2023-11-15,2025-04-20,"OVH, SAS",abuse@ovh.net,https://ovh.net,,Error
pepites-lacave.com,2022-08-27,2024-07-26,2025-08-27,"OVH, SAS",abuse@ovh.net,https://ovh.net,,Error
magej.com,2024-03-12,2024-03-12,2025-03-12,WEBCC,compliance_abuse@webnic.cc,https://webnic.cc,,Error
1stamc.com,2021-05-30,2024-05-31,2025-05-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
professores.utfpr.edu.br,2020-05-05,2020-05-05,,,,,,Error
nanteseuropelec.fr,2003-10-09,2024-12-31,2025-11-16,ORANGE,cloud.store@orange-business.com,https://orange-business.com,,Error
cablecomllc.net,2004-03-22,2024-09-02,2025-09-01,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
wandynamics.com,2016-02-14,2025-02-10,2026-02-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
appsolute.com,1997-09-25,2024-08-24,2025-09-24,"Vitalwerks Internet Solutions, LLC / No-IP.com",abuse@no-ip.com,https://no-ip.com,,200
yottabit.co.zw,,,,,,,,200
klen.com.au,,2024-07-14,,Corporation Service Company (Aust) Pty Ltd,,,,200
viscaria.com,2010-11-20,2025-01-18,2027-11-20,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,,200
mountainenergyservices.com,2009-03-31,2024-01-31,2026-03-31,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
biliso.com,2017-12-16,2025-02-28,2025-12-16,"NameSilo, LLC",abuse@namesilo.com,https://namesilo.com,,Error
oma.com.br,2008-07-12,2024-08-01,2025-08-28,,,,,200
nhpld.com,2011-01-18,2025-01-11,2026-01-18,PDR Ltd. d/b/a PublicDomainRegistry.com,abuse-contact@publicdomainregistry.com,https://publicdomainregistry.com,,Error
senspex.com,2001-12-13,2023-02-28,2026-03-13,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
h-partners.com,2020-11-23,2024-04-17,2025-11-23,Xin Net Technology Corporation,supervision@xinnet.com,https://xinnet.com,,Error
ruby-group.co.uk,2016-05-17,2024-07-18,2025-05-17,123-Reg Limited t/a 123-reg [Tag = 123-REG],,,,200
jdb.net,1997-02-14,2021-01-17,2026-02-15,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,Error
colorintech.org,2015-02-19,2024-07-01,2032-02-19,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,Error
tri-tex.com,2000-03-17,2025-02-17,2026-03-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
tssfg.com,2019-01-14,2024-01-15,2026-01-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
hncz.xyz,2024-04-24,2024-05-14,2025-04-24,"Porkbun, LLC",abuse@porkbun.com,https://porkbun.com,,Error
youjianmiao.com,2024-06-11,2024-06-11,2025-06-11,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),DomainAbuse@service.aliyun.com,https://service.aliyun.com,,Error
kooyoomjian.com,2003-03-22,2025-02-21,2026-03-22,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,Error
cmheia.com,2014-01-03,2025-02-23,2026-01-03,"NameSilo, LLC",abuse@namesilo.com,https://namesilo.com,,Error
csn-stanel.pl,2003-08-27,2024-08-13,2025-08-26,nazwa.pl sp. z o.o.,,,,Error
jpmsman.com,2008-08-27,2023-08-31,2025-08-27,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
villena.cat,2006-04-21,2025-01-27,2030-04-21,"10DENCEHISPAHARD, S.L",abuse@cdmon.com,https://cdmon.com,,200
yuma.ai,2022-12-10,,,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,,200
reservoirintl.com,2008-09-20,2025-03-07,2026-09-20,FastDomain Inc.,domain.operations@web.com,https://web.com,,Error
premierwaste.com.au,,2025-01-20,,Web Address Registration Pty Ltd,,,,200
jewishhour.org,2008-11-03,2024-09-22,2025-11-03,"GKG.NET, INC.",abuse@gkg.net,https://gkg.net,,Error
yoga80.com,2011-07-27,2023-07-27,2025-07-27,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
grupo-ocsa.com,2020-05-15,2024-05-07,2025-05-15,"Arsys Internet, S.L. dba NICLINE.COM",abuse@nicline.com,https://nicline.com,,Error
esca.com.do,2002-09-30,2024-08-26,2026-09-30,Registrar NIC .DO (midominio.do),info@nic.do,https://nic.do,,Error
hbfuller.com,1994-02-01,2024-12-05,2030-02-02,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
pipingproducts.com,1997-01-30,2023-03-06,2028-01-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
