Unnamed: 0,domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url,Unnamed: 0.1
,d-m-t.at,,,,,,,
,d-server.nl,2003-10-10,2022-08-09,,D-Hosting,,,
,quickcleandev.com,2022-01-06,2025-02-13,2025-01-06,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,dailyinfographic.com,2010-06-20,2024-05-21,2025-06-20,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,daliaresearch.com,2013-08-19,2023-03-07,2031-08-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,daltonoldpumphouse.com,2020-07-15,2024-07-16,2025-07-15,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,
,danatec.com,1996-04-10,2024-04-11,2025-04-11,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,dancewearsolutions.com,2002-01-23,2023-11-24,2029-01-23,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,dastyar.io,2021-10-02,2024-09-22,2025-10-02,Key-Systems GmbH,,,
,dcmetrostore.com,2004-08-09,2023-04-17,2032-08-09,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,dditechnology.com,2008-05-07,2025-01-11,2025-05-07,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,ddncampus.net,2002-04-02,2025-03-05,2029-04-02,NetEarth One Inc. d/b/a NetEarth,a-b-u-s-e.whois.field@netearthone.com,https://netearthone.com,
,ddslab.com,2007-06-25,2024-04-26,2025-06-25,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,ddsservicebureau.com,2007-02-19,2022-01-28,2027-02-19,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,dealmoon.ca,2011-05-31,2021-02-28,2029-05-31,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com,
,defriesland.nl,1997-07-21,2025-03-07,,Novagraaf Nederland B.V.,,,
,delsol.com.mx,2007-06-21,2023-05-03,2028-06-20,"AKKY ONLINE SOLUTIONS, S.A. DE C.V.",,,
,demoup-cliplister.com,2021-04-19,2024-03-15,2025-04-19,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,desafiomundial.com,2013-12-22,2024-12-09,2026-01-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,destinyhosted.com,2012-04-18,2023-04-17,2025-04-18,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,detroittitans.com,2000-01-08,2024-01-08,2034-01-08,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,devsbcp.fr,2019-05-24,2024-06-09,2025-07-08,GANDI,support@support.gandi.net,https://support.gandi.net,
,dexview.com,2022-03-22,2022-09-18,2032-03-22,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,
,dhosting.pl,2006-11-06,2022-05-02,2027-11-06,dhosting.pl Sp. z o.o.,,,
,dhr-digital.com,2020-04-01,2025-02-25,2026-04-01,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,diariodelyaqui.mx,2010-01-08,2025-03-05,2028-01-07,GoDaddy.com,,,
,diffwizard.com,2011-06-17,2024-06-16,2025-06-17,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,digibib.net,2000-10-13,2024-10-14,2025-10-13,"COREhub, S.R.L.",abuse@corehub.net,https://corehub.net,
,digitalwave.hu,,,,,,,
,directvsports.com,1999-12-14,2025-01-03,2025-12-14,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,discoversaratoga.org,2000-12-14,2025-01-28,2025-12-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,divxtotal.cyou,,,,,,,
,dix.tf,,,2025-06-05,GANDI,support@support.gandi.net,https://support.gandi.net,
,dmd2services.com,2017-01-24,2025-01-25,2026-01-24,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,
,do-ex.org,2016-02-27,2025-02-27,2026-02-27,1API GmbH,abuse@1api.net,https://1api.net,
,doctena.com,2012-11-28,2025-01-30,2025-11-28,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,
,doctordoctor.biz,2005-10-02,2024-07-23,,"Network Solutions, LLC",abuse@web.com,https://web.com,
,dods.co.uk,2004-05-02,2024-04-29,2025-05-02,"CSC Corporate Domains, Inc [Tag = CSC-CORP-DOMAINS]",,,
,dominion-online.com,2016-01-04,2025-01-30,2026-01-04,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,
,donatos-pizza.com,2018-06-22,2024-04-02,2025-06-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,dot.vu,2014-03-05,2025-02-10,2030-03-05,Telecom Vanuatu Limited (TVL),casper@dot.vu,https://dot.vu,
,doto.com.mx,2016-09-01,2023-01-24,2031-09-01,"AKKY ONLINE SOLUTIONS, S.A. DE C.V.",,,
,drawelry.com,2018-08-23,2022-08-29,2028-08-23,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,dreamherorock.com,,,,,,,
,dreier.no,2018-02-16,2025-01-20,,,,,
,drjays.com,1996-09-01,2024-07-02,2025-08-31,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,drmartyussl.com,2022-01-12,2022-10-05,2027-01-12,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,ds1.biz,2022-10-06,2024-10-11,2025-10-06,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,dwk.com,1996-06-25,2023-05-11,2028-06-24,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,dwnpowerpro.com,2024-11-25,2025-03-02,2025-11-25,Media Elite Holdings Limited,billing@registermatrix.com,https://registermatrix.com,
,dxaraiub.ws,,,,,,,
,easywithai.com,2022-12-06,2024-10-04,2029-12-06,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,ebp.com,1999-01-24,2025-01-06,2026-01-24,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,ebutiseemedlikea.com.ua,,,,,,,
,ecommerce-platforms.com,2014-06-04,2022-07-12,2029-06-04,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,ecopowershop.com,2010-02-06,2021-12-31,2027-02-06,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,
,edelstahl-tuerklingel.de,,2024-03-11,,,,,
,educateiowa.gov,2010-05-24,2024-07-31,2025-05-24,get.gov,soc@iowa.gov,https://iowa.gov,
,ef.co.id,2003-11-07,2024-07-29,2025-09-01,PT Digital Registra Indonesia,,,
,efcore.services,2020-01-08,2024-12-10,2026-01-08,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,efile.com,1997-08-15,2024-02-03,2029-06-29,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,egoshoes.com,2014-11-02,2023-10-30,2025-11-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,ehplabs.com,2012-08-18,2024-08-19,2026-08-18,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,elavongateway.com,2019-08-30,2024-08-02,2025-08-30,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,electricautomationnetwork.com,2013-04-03,2025-03-04,2026-04-03,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,
,elelive.net,2017-09-01,2024-12-09,2028-09-01,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,elevationscu.com,2006-02-24,2024-12-26,2030-02-24,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,eliftruck.com,2000-01-04,2022-09-21,2027-01-04,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,elifulkerson.com,2001-05-20,2024-04-05,2025-05-20,"DNC Holdings, Inc",abuse@directnic.com,https://directnic.com,
,elijahlist.com,1999-03-17,2024-03-18,2025-03-17,IONOS SE,abuse@ionos.com,https://ionos.com,
,ellipsehosting.com,2011-11-16,2023-11-17,2025-11-16,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,elo-si.com,2007-01-30,2024-09-14,2030-01-30,Dinahosting s.l.,abuse-domains@dinahosting.com,https://dinahosting.com,
,elvanto.net,2010-04-29,2024-03-26,2025-04-29,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,emailanalyst.com,2004-09-30,2024-02-05,2026-11-02,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,emexlondon.com,2013-11-26,2024-10-27,2025-11-26,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,emy.gr,,,,,,,
,ena-eng.org,2004-03-25,2025-02-28,2026-03-25,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,
,endesaclientes.com,2012-02-09,2025-03-04,2027-02-09,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,enfuce.com,2016-05-31,2025-03-02,2025-05-31,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,engadin.ch,,,,,,,
,engdic.org,2020-02-02,2025-01-17,2026-02-02,Hosting Concepts B.V. d/b/a Registrar.eu,abuse@registrar.eu,https://registrar.eu,
,ennovelas.net,2022-03-28,2025-02-28,2026-03-28,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,entyvioconnectportal.com,2021-06-04,2024-05-31,2025-06-04,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,envizi.com,2012-03-25,2024-03-21,2025-03-25,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,winkappeng.com,2020-02-27,2025-01-23,2026-02-27,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,epicconjoint.com,2017-02-22,2025-02-23,2027-02-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,eqcfprpl.ru,,,,,,,
,erptranquil.com,2021-05-27,2022-10-16,2026-05-27,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,esportsku.com,2016-06-11,2023-06-25,2026-06-11,"HOSTINGER operations, UAB",abuse-tracker@hostinger.com,https://hostinger.com,
,ess.com,1993-03-19,2024-03-20,2025-03-20,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,estesrockets.com,1998-01-14,2024-11-14,2026-01-13,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,etrgmail.com,2012-07-03,2023-06-13,2026-07-03,"007Names, Inc.",abuse@007names.com,https://007names.com,
,gtrxlnd7.com,2023-07-17,2024-06-18,2025-07-17,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,europuls.eu,,,,EuroDNS S.A.,,,
,eventimsports.de,,2023-03-28,,,,,
,everfi-next.net,2016-07-13,2025-01-26,2025-07-13,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,everphoto.cn,2014-08-21,,2025-08-21,厦门易名科技股份有限公司,,,
,evolver.de,,2023-12-13,,,,,
,ewytcur.ru,,,,,,,
,exchgmdata.com,2020-06-09,2024-06-10,2025-06-09,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,expandi.io,2019-09-26,2024-11-10,2025-09-26,Realtime Register B.V.,,,
,expedia.com.vn,,,,,,,
,experience.care,2020-12-12,2025-01-26,2025-12-12,"GoDaddy.com, LLC",cctldassistance@godaddy.com,https://godaddy.com,
,eyemedinfocus.com,2013-04-05,2024-04-01,2025-04-05,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,eypae.com,1996-08-05,2024-06-05,2029-08-04,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,ezd365.com,2015-01-20,2024-12-19,2026-01-20,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,ezyroller.com,2005-07-31,2019-05-07,2026-07-31,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,facturame.mx,2009-09-04,2024-09-04,2025-09-03,GoDaddy.com,,,
,familyassets.com,2004-08-08,2024-08-09,2026-08-08,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,familystylefood.com,2006-05-19,2023-05-06,2025-05-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,fanatics.co.uk,2003-11-04,2024-10-03,2025-11-04,Markmonitor Inc. [Tag = MARKMONITOR],,,
,fashioneyewear.com,1997-12-02,2023-12-02,2032-12-01,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,fbcdn.com,2007-05-03,2024-05-22,2033-05-03,"RegistrarSafe, LLC",abusecomplaints@registrarsafe.com,https://registrarsafe.com,
,fbf8.com,2014-02-21,2024-11-24,2026-02-21,"RegistrarSEC, LLC",abusecomplaints@registrarsec.com,https://registrarsec.com,
,fbrsoll.ru,2022-12-03,,2025-12-03,RU-CENTER-RU,,,
,fcartell.fit,,,,,,,
,fdisk.at,,,,,,,
,feathercdn.net,2021-03-10,2024-11-10,2026-03-10,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,
,feedconstruct.com,2018-02-28,2025-01-08,2026-02-28,EuroDNS S.A.,legalservices@eurodns.com,https://eurodns.com,
,feedsportal.com,2017-04-01,2025-03-03,2025-04-01,"GMO Internet, Inc.",abuse@gmo.jp,https://gmo.jp,
,fensaonline.com,2001-11-28,2024-10-08,2025-11-28,Easyspace Ltd.,abuse@easyspace.com,https://easyspace.com,
,fiji.sc,2011-05-10,2024-07-17,2025-05-10,1API GmbH,abuse@1api.net,https://1api.net,
,filelauncher.co,2020-07-24,2024-06-25,2025-07-24,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,filmnime.xyz,2021-05-15,2024-11-13,2025-05-15,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,finale-cdn.uk,2018-03-26,2025-02-24,2026-03-26,Fasthosts Internet Ltd [Tag = LIVEDOMAINS],,,
,financerites.com,2022-07-01,2024-06-07,2025-07-01,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,findit-all.com,2021-02-02,2025-01-02,2026-02-02,"GoDaddy Corporate Domains, LLC",abuse@gcd.com,https://gcd.com,
,fingershock.com,2014-02-25,2025-01-22,2026-02-25,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,firsttwo.com,2009-06-30,2024-01-01,2026-06-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,flavourandsavour.com,2014-08-12,2024-04-10,2029-08-12,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,fleetdeck.io,2018-12-10,2024-11-11,2025-12-10,Gandi SAS,,,
,flipchina.cn,2016-04-28,,2027-04-28,阿里云计算有限公司（万网）,yhan@flipboard.cn,https://flipboard.cn,
,flippinpain.co.uk,2019-12-20,2023-12-03,2025-12-20,UK Web.Solutions Direct Ltd [Tag = UKWSD],,,
,flirtychat.online,2023-05-11,2024-05-07,2025-05-11,"Name.com, Inc.",,,
,floatrates.com,2011-04-25,2022-09-09,2031-04-25,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,flugladen.de,,2025-02-03,,,,,
,flymobiadx.com,2022-10-09,2024-09-23,2026-10-09,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,flywheel.io,2012-04-18,2024-04-01,2025-04-18,"Name.com, Inc.",,,
,follettlearning.com,2009-07-20,2024-08-09,2025-07-20,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,fontbonne.edu,1995-03-14,,2027-07-31,,,,
,footjoy.co.uk,1998-12-14,2024-11-12,2026-12-14,Markmonitor Inc. [Tag = MARKMONITOR],,,
,fortalnet.com.br,1998-01-07,2024-12-27,2026-12-07,,,,
,fortytwo.tech,2019-03-10,2025-02-12,2025-03-10,Dotserve Inc,abuse@dotserve.website,https://dotserve.website,
,iprow.co.uk,1999-05-11,2024-04-08,2026-05-11,Team Blue Internet Services UK Limited [Tag = NAMESCO],,,
,forumbee.com,2010-03-14,2022-02-18,2026-03-14,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,wuestenigel.com,2008-12-18,2025-01-22,2025-12-18,RegistryGate GmbH,abuse@registrygate.com,https://registrygate.com,
,fox4now.com,2006-06-23,2024-08-02,2025-06-23,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,fragile.cz,2004-04-14,2024-12-11,2025-04-13,REG-ACTIVE24,,,
,free-ebooks.net,2000-02-05,2025-01-08,2026-02-05,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,
,freechatnow.com,1999-10-11,2024-10-12,2025-10-11,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,freepressjournal.in,2007-01-22,2024-01-24,2029-01-22,"GoDaddy.com, LLC",,,
,freshplaza.com,2004-06-22,2025-01-28,2025-06-22,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,
,freshwater.cloud,2017-07-27,2024-06-28,2025-07-27,Gandi SAS,abuse@gandi.net,https://gandi.net,
,frightysever.org,,,,,,,
,frmonline.com,1997-02-05,2025-01-05,2026-02-06,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,jobespresso.net,2004-05-17,2024-04-17,2025-05-17,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,fsb.org,2000-03-07,2025-01-11,2026-03-07,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,fsmatters.com,2016-12-15,2024-11-15,2025-12-15,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,ftnn.com.tw,2023-02-10,,2027-02-10,CCNET,,,
,fuelinjectorconnection.com,2007-07-23,2024-06-24,2025-07-23,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,funheroic.com,,,,,,,
,furkot.com,2010-04-18,2025-02-02,2025-04-18,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,
,fusionnet.in,2014-12-09,2024-06-08,2026-12-09,"GoDaddy.com, LLC",,,
,nexonstatic.com,2021-03-04,2025-02-28,2026-03-04,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,g792337341.co,2021-08-18,2024-07-24,2025-08-18,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com,
,gacorbetul.xyz,2023-11-18,2024-11-21,2025-11-18,Dynadot LLC,abuse@dynadot.com,https://dynadot.com,
,galapand.com,2021-12-21,2023-11-30,2031-12-21,"DNSPod, Inc.",abuse@dnspod.com,https://dnspod.com,
,gamblingzone.com,1998-04-15,2024-04-14,2025-04-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,gamerplay26.bio,2023-06-30,2024-11-25,2025-06-30,"Name.com, Inc.",abuse@name.com,https://name.com,
,gamesclearance.club,2023-02-13,2024-12-20,2026-02-13,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,gdm.de,,2023-01-25,,,,,
,gdst.net,1997-11-14,2025-02-05,2025-11-13,NOM-IQ Ltd dba Com Laude,abuse@comlaude.com,https://comlaude.com,
,geekbang.org,2015-03-11,2024-01-20,2028-03-11,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,geeksquadlabs.com,2010-09-08,2024-08-07,2026-09-08,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,gendelivers.com,2015-07-17,2024-07-10,2025-07-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,generation.fr,1998-02-05,2025-02-13,2026-02-13,ORANGE,cloud.store@orange-business.com,https://orange-business.com,
,geordiebootboys.com,2017-12-06,2023-11-29,2025-12-06,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,
,getspeedyresults.com,2021-11-01,2024-08-02,2025-11-01,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,gettyimages.in,2005-03-24,2024-03-25,2025-03-24,"CSC Corporate Domains, Inc.",,,
,ginfes.com.br,2009-05-27,2024-05-25,2025-05-27,,,,
,gingrichloghomes.com,2000-07-17,2022-09-08,2025-07-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,gkind2klan.net,,,,,,,
,glavnoe.life,2020-04-02,2024-12-05,2025-04-02,,abuse@reg.ru,https://reg.ru,
,glitterpaws.agency,2023-04-13,2024-03-15,2025-04-13,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,globalmoby.xyz,2022-02-24,2025-01-28,2026-02-24,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,go-jwu.org,2022-01-11,2024-09-30,2026-01-11,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,gocolumbia.edu,2006-07-11,,2026-07-31,,,,
,gogtc.co,2017-05-22,2024-08-10,2029-05-21,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,gotrippgo.com,,,,,,,
,gottabemobile.com,2006-02-07,2024-02-08,2034-02-07,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,gpsgateservices.com,2016-01-14,2025-01-09,2026-01-14,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,greencloudpos.com,2022-08-19,2024-08-17,2025-08-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,greytrix.com,2000-12-06,2024-09-19,2029-12-06,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,grissemann.at,,,,,,,
,groupeactual.eu,,,,ORDIPAT,,,
,growito.app,2022-05-05,2024-04-24,2025-05-05,Gransy s.r.o. d/b/a subreg.cz,abuse@regtons.com,https://regtons.com,
,grundos.cafe,2022-06-30,2024-07-02,2026-06-30,"GoDaddy.com, LLC",cctldassistance@godaddy.com,https://godaddy.com,
,gskbrandhub.com,2013-06-21,2024-06-22,2025-06-21,Safenames Ltd,abuse@safenames.net,https://safenames.net,
,gts.sk,2005-08-15,2024-10-14,2025-10-11,"SWAN, a. s.",domeny@swan.sk,https://swan.sk,
,guarantee-vault.com,2019-10-22,2024-10-15,2025-10-22,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,
,gunbattle.online,2021-12-21,2025-03-04,2024-12-21,Namecheap,,,
,s-pushtan-wl05.de,,2023-04-13,,,,,
,gwtenkges.com,2023-03-30,2025-03-05,2026-03-30,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,h-care.eu,,,,Register S.p.A.,,,
,hamilton.ca,2002-07-02,2024-07-15,2025-05-31,Internic.ca Inc.,abuse@rebel.com,https://rebel.com,
,hangmytracking.com,2014-05-12,2023-04-20,2028-05-12,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,hansevision.de,,2018-12-12,,,,,
,harmonyhda.com,2009-12-30,2024-12-31,2025-12-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hba.org,1997-04-28,2021-03-16,2026-04-29,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,hbssweb.com,2009-07-02,2024-07-02,2027-07-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hcscanyplace.net,2004-01-30,2024-11-11,2026-01-30,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,hdfimg.com,2008-10-21,2022-06-21,2027-10-21,"XIAMEN CHINASOURCE INTERNET SERVICE CO., LTD.",kf@zzy.cn,https://zzy.cn,
,healthengine.com.au,,2025-02-09,,Domain Directors Pty Ltd trading as Instra,,,
,heartbeat.chat,2020-06-26,2024-08-10,2025-06-26,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,hehemobi.com,2016-05-11,2024-03-27,2025-05-11,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,heidelbergmaterials.us,2022-07-06,2024-07-02,2025-07-06,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,heizsparer.de,,2021-08-26,,,,,
,heksagon.si,2009-02-04,,2026-02-04,Zupo d.o.o.,,,
,helifreak.com,2004-02-26,2025-02-26,2026-02-26,GoDaddy Online Services Cayman Islands Ltd.,abuse@uniregistry.com,https://uniregistry.com,
,hellomerch.com,2008-02-03,2024-12-29,2034-02-03,FastDomain Inc.,domain.operations@web.com,https://web.com,
,hertz.ie,1999-10-14,,2025-12-31,Markmonitor Inc,,,
,hexal.de,,2024-10-22,,,,,
,hfqsehb.com,2022-07-28,2024-07-01,2025-07-28,Dynadot Inc,abuse@dynadot.com,https://dynadot.com,
,hitykd.xyz,,,,,,,
,hiveplatform.org,2016-02-14,2025-01-20,2026-02-14,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,hlprotools.com,2020-01-18,2025-01-19,2026-01-18,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hmpglobalevents.com,2022-12-09,2024-12-10,2026-12-09,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hngnews.com,2008-09-05,2024-05-30,2025-06-14,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,hofstede-insights.com,2017-06-07,2024-09-05,2025-06-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,holding-graz.at,,,,,,,
,holidaycalendar.io,2023-01-21,2024-12-27,2026-01-21,"Cloudflare, Inc",,,
,holidaycars.com,1998-08-22,2024-08-21,2025-08-21,Hosting Concepts B.V. d/b/a Registrar.eu,abuse@registrar.eu,https://registrar.eu,
,mylacera.com,2006-02-07,2024-12-15,2029-02-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,homebunch.com,2010-09-02,2022-01-25,2027-09-02,"DNC Holdings, Inc",abuse@directnic.com,https://directnic.com,
,hometheaterreview.com,2002-02-12,2025-02-11,2026-02-12,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hoover-home.com,2017-06-27,2024-06-23,2025-06-27,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,hostedexs.com,2014-08-26,2024-08-26,2025-08-26,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hotbokep-hotvideo.info,2022-04-14,2024-04-05,2025-04-14,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,
,hotelnewsme.com,2014-05-14,2024-05-15,2025-05-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,howtodraw.pics,2024-12-22,2025-03-07,2025-12-22,Domain Science Kutatasi Szolgaltato,info@virtuadrug.com,https://virtuadrug.com,
,hrzone.com,1996-09-20,2023-12-12,2025-09-19,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com,
,htt.io,2015-04-09,2025-03-06,2026-04-09,Gandi SAS,,,
,hudsonltd.net,2007-03-01,2024-12-31,2028-03-01,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,huissiersdejustice.be,1998-09-11,,,,,,
,hundeurlaub.de,,2022-11-15,,,,,
,huntscanlon.com,2013-10-23,2023-10-16,2028-10-23,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,hydraulicmegastore.com,2013-01-21,2024-12-22,2026-01-21,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,hyperoffice.us,,,,,,,
